,SG_UF_RESIDENCIA,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_REDACAO
0,AC,1200401,Rio Branco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,2700300,Arapiraca,442.4,588.4,547.3,409.3,100.0,120.0,80.0,500.0
2,AM,1302603,Manaus,0.0,179.86666666666667,181.23333333333335,0.0,40.0,40.0,33.333333333333336,173.33333333333334
3,BA,2900702,Alagoinhas,501.9,589.4,521.9,482.2,140.0,120.0,120.0,500.0
4,BA,2903201,Barreiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,BA,2903904,Bom Jesus da Lapa,523.0,635.4,616.7,614.4,160.0,140.0,140.0,660.0
6,BA,2906501,Candeias,425.4,618.7,492.6,409.9,100.0,100.0,100.0,400.0
7,BA,2907509,Catu,551.0,621.6,595.8,726.1,160.0,200.0,160.0,920.0
8,BA,2908200,Conceição da Feira,445.1,563.2,544.2,459.2,120.0,40.0,40.0,340.0
9,BA,2914604,Irecê,443.0,671.2,612.5,519.8,120.0,140.0,120.0,600.0
10,BA,2916401,Itapetinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,BA,2918100,Jeremoabo,0.0,419.9,345.8,0.0,140.0,40.0,40.0,360.0
12,BA,2927408,Lauro de Freitas,588.7,678.1,636.1,670.2,160.0,40.0,40.0,440.0
13,BA,2927408,Salvador,515.0428571428572,610.5,529.6,527.3428571428572,131.42857142857142,122.85714285714286,122.85714285714286,588.5714285714286
14,BA,2928901,Barreiras,402.9,478.1,461.6,384.9,120.0,40.0,40.0,320.0
15,BA,2933257,Medeiros Neto,417.9,501.4,451.4,433.4,120.0,40.0,40.0,400.0
16,BA,2933307,Vitória da Conquista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,CE,2301109,Aracati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,CE,2301901,Barbalha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,CE,2302602,Camocim,478.5,513.3,564.7,514.9,120.0,120.0,120.0,580.0
20,CE,2304400,Fortaleza,413.79999999999995,468.5,439.9555555555555,513.088888888889,104.44444444444444,102.22222222222223,102.22222222222223,508.8888888888889
21,CE,2305233,Horizonte,570.8,611.3,557.1,537.0,100.0,40.0,20.0,280.0
